M,TempoM(ms)
0,4.0482
1,3.1028
2,1.4359
3,1.3802
4,1.2406
5,1.1537
6,1.4103
7,0.9597
8,1.0089
9,0.9299
10,1.3058
11,1.5853
12,1.0516
13,1.0164
14,1.2027
15,1.003
16,0.9295
17,0.9335
18,1.0293
19,1.1626
20,1.0432
21,0.952
22,0.9654
23,1.0551
24,1.1694
25,0.9297
26,1.0563
27,0.9841
28,1.3109
29,0.9035
30,1.0237
31,0.8662
32,1.3042
33,0.9641
34,0.9586
35,0.9247
36,1.0385
37,1.0805
38,0.9933
39,0.9234
40,0.9812
41,2.2574
42,0.9733
43,1.025
44,0.9004
45,1.015
46,1.1401
47,0.9802
48,0.9112
49,0.9624
50,0.9692
51,1.1406
52,0.8987
53,0.9698
54,0.9003
55,1.2009
56,2.1011
57,1.4159
58,1.8235
59,1.7397
60,1.8245
61,2.5435
62,1.6557
63,1.6577
64,1.2066
65,1.0594
66,1.1608
67,1.3803
68,1.8097
69,2.0843
70,0.9378
71,1.3137
72,0.9205
73,1.0246
74,0.8996
75,1.0808
76,0.9383
77,0.8469
78,0.9249
79,0.8486
80,0.8401
81,0.8781
82,0.908
83,1.0659
84,0.9398
85,0.9091
86,0.8836
87,0.861
88,0.8267
89,0.8408
90,0.8923
91,0.9721
92,0.8535
93,0.8626
94,0.8915
95,0.8418
96,0.8589
97,0.9099
98,1.2232
99,0.8853
100,0.8442
101,0.8591
102,0.8966
103,0.9476
104,0.9997
105,1.1775
106,1.2439
107,0.9039
108,1.0457
109,0.8717
110,1.1983
111,1.0105
112,1.3719
113,1.3443
114,1.3758
115,1.3864
116,1.0917
117,1.3512
118,1.46
119,1.2444
120,0.986
121,1.1979
122,1.0279
123,1.1975
124,1.0989
125,1.3163
126,1.0512
127,1.1483
128,0.9033
129,0.9382
130,0.8757
131,0.9068
132,0.9329
133,1.012
134,1.0014
135,0.8575
136,0.8601
137,0.966
138,0.9549
139,0.8679
140,1.0271
141,0.8893
142,0.8207
143,0.8156
144,0.8547
145,0.8164
146,0.826
147,0.8972
148,0.9934
149,0.9051
150,0.9629
151,0.8715
152,0.954
153,0.8835
154,0.8558
155,0.9708
156,0.9328
157,0.923
158,0.8481
159,0.8371
160,0.9025
161,0.8474
162,0.88
163,1.0657
164,0.8704
165,0.8624
166,0.9062
167,0.8348
168,0.8834
169,0.935
170,0.8915
171,0.9424
172,0.872
173,0.8621
174,0.9671
175,1.0359
176,0.9938
177,1.0581
178,1.2992
179,1.201
180,0.9094
181,0.9626
182,0.9209
183,1.221
184,1.1998
185,0.9573
186,1.0848
187,1.0667
188,1.0847
189,1.3239
190,1.0675
191,1.2908
192,1.0056
193,1.0369
194,1.0296
195,1.0925
196,0.87
197,0.9449
198,0.9287
199,0.8849
200,0.9385
201,1.3129
202,0.9203
203,0.8625
204,0.9402
205,0.9223
206,0.9403
207,0.9174
208,1.0936
209,1.0409
210,0.9382
211,0.8759
212,1.1453
213,1.0507
214,1.2988
215,1.1256
216,0.9406
217,1.0683
218,0.8915
219,0.8914
220,0.9229
221,1.0938
222,1.1851
223,1.0412
224,0.9322
225,1.0359
226,0.9382
227,1.1118
228,1.3339
229,0.9347
230,0.9208
231,0.9899
232,0.8383
233,0.9656
234,1.2694
235,1.1462
236,0.8952
237,0.9229
238,0.9346
239,0.9751
240,0.9047
241,1.1048
242,1.2424
243,1.0348
244,0.8711
245,0.8507
246,0.972
247,1.2239
248,0.9621
249,0.9766
250,1.0081
251,1.0904
252,0.8522
253,1.1536
254,1.2299
255,0.9711
256,1.1149
257,1.0368
258,1.2449
259,1.3231
260,1.4286
261,1.0937
262,1.2013
263,1.1646
264,1.3166
265,1.4757
266,1.0225
267,1.027
268,1.1004
269,1.337
270,1.4763
271,1.119
272,1.5744
273,1.038
274,1.0256
275,1.3482
276,1.4763
277,1.2416
278,1.6344
279,1.7672
280,1.6081
281,1.2839
282,1.3955
283,1.5694
284,2.0524
285,1.3785
286,1.6805
287,0.9539
288,1.0104
289,1.4463
290,1.0685
291,1.0381
292,0.8961
293,0.8614
294,0.8805
295,0.8947
296,1.012
297,0.8438
298,0.8288
299,0.8493
300,0.8232
301,0.8086
302,0.831
303,0.8582
304,0.9123
305,0.9033
306,0.8755
307,0.8223
308,0.8064
309,0.8046
310,0.8301
311,0.8115
312,0.8343
313,0.9124
314,0.9219
315,0.8461
316,0.859
317,0.8117
318,0.8214
319,0.8379
320,0.881
321,0.8544
322,1.1189
323,0.8611
324,0.8502
325,0.8348
326,0.8627
327,0.826
328,0.8261
329,0.8316
330,0.8431
331,0.8967
332,0.8364
333,0.8615
334,0.8295
335,0.8158
336,0.9095
337,0.8423
338,0.8238
339,0.9361
340,1.0439
341,0.8527
342,0.8707
343,0.8443
344,0.8375
345,0.8414
346,0.8379
347,0.9119
348,0.907
349,0.9472
350,0.8131
351,0.7953
352,0.829
353,0.8288
354,0.8282
355,0.8783
356,0.8614
357,0.9176
358,0.8607
359,0.8656
360,0.8299
361,0.8193
362,0.8434
363,0.8213
364,0.8252
365,0.8687
366,0.9563
367,0.8661
368,0.8229
369,0.8365
370,0.848
371,0.8335
372,0.819
373,0.819
374,0.8391
375,0.9262
376,0.9249
377,0.8463
378,0.8062
379,0.8308
380,0.815
381,0.8085
382,0.8875
383,1.1183
384,1.1822
385,1.4192
386,0.8488
387,0.887
388,0.9179
389,0.9317
390,0.9587
391,1.0598
392,1.1714
393,0.8952
394,0.8788
395,0.838
396,0.8943
397,0.8952
398,0.9113
399,0.9589
400,0.8081
401,0.7933
402,0.8105
403,0.8244
404,0.8446
405,0.8324
406,0.8373
407,0.8895
408,0.8986
409,0.8246
410,0.8267
411,0.8062
412,0.7974
413,0.831
414,0.8245
415,0.8081
416,0.8933
417,0.9515
418,0.7774
419,0.8315
420,0.8613
421,0.8549
422,0.8152
423,0.8803
424,0.9523
425,1.0083
426,1.0662
427,0.8256
428,0.8171
429,0.7975
430,0.8589
431,0.823
432,0.8175
433,0.9056
434,0.9399
435,0.8299
436,0.8196
437,0.8084
438,0.7814
439,0.7737
440,0.8515
441,0.8127
442,0.842
443,0.9283
444,0.9378
445,0.8138
446,0.7989
447,1.1642
448,0.9417
449,1.0094
450,1.0082
451,0.9994
452,0.9001
453,0.8675
454,0.8272
455,0.9606
456,0.8321
457,0.8263
458,0.943
459,1.077
460,0.8137
461,0.8208
462,0.8708
463,0.8276
464,0.9035
465,0.8148
466,0.8593
467,0.9871
468,0.8624
469,0.8273
470,0.8405
471,0.8245
472,0.8295
473,0.815
474,0.8168
475,0.9144
476,0.9328
477,0.8855
478,0.8314
479,0.8188
480,0.8486
481,0.8342
482,0.8828
483,0.8857
484,0.9293
485,0.8387
486,0.9203
487,0.8237
488,0.8446
489,0.8685
490,0.8207
491,0.8622
492,1.2066
493,0.8479
494,8.7716
495,1.0164
496,0.8968
497,0.8938
498,0.8912
499,0.956
500,0.8513
501,0.8802
502,1.0795
503,0.8884
504,0.8272
505,0.8996
506,0.8231
507,1.0165
508,0.8364
509,0.9341
510,1.0027
511,1.0098
512,0.9123
513,0.8466
514,1.0038
515,0.8514
516,0.8452
517,1.0241
518,0.8446
519,0.822
520,0.8759
521,0.8796
522,0.8295
523,0.8785
524,0.9974
525,0.8728
526,1.0588
527,0.8509
528,0.8318
529,0.8435
530,0.8155
531,0.8814
532,1.0647
533,0.8457
534,0.8386
535,0.816
536,0.8383
537,0.8507
538,0.8304
539,0.8882
540,1.0192
541,0.858
542,0.8324
543,0.9082
544,0.8381
545,0.8181
546,0.8769
547,1.0759
548,0.8922
549,0.9237
550,0.9172
551,0.8147
552,0.8065
553,0.813
554,0.8405
555,0.987
556,0.8782
557,0.8393
558,0.8276
559,0.8287
560,0.8551
561,0.9046
562,0.8723
563,1.0189
564,0.8603
565,0.8713
566,0.9461
567,0.9296
568,0.826
569,1.0004
570,1.4729
571,1.014
572,0.847
573,0.8396
574,0.9018
575,0.8565
576,0.8253
577,0.9589
578,0.9596
579,0.9134
580,0.9224
581,0.8561
582,0.8478
583,0.9318
584,0.9043
585,0.9692
586,0.8971
587,0.8126
588,0.8081
589,0.9783
590,0.9083
591,0.8443
592,0.9265
593,1.1692
594,0.8733
595,0.8784
596,0.83
597,0.8199
598,0.8723
599,0.846
600,0.8638
601,0.9944
602,0.8898
603,0.8556
604,0.9124
605,0.8333
606,0.8216
607,0.876
608,0.9394
609,0.9438
610,0.8313
611,0.8714
612,0.8574
613,0.9323
614,0.8285
615,0.9716
616,0.8922
617,0.844
618,0.8352
619,0.8863
620,0.8476
621,0.901
622,0.8574
623,1.0495
624,0.906
625,0.8323
626,0.807
627,0.898
628,0.8597
629,0.8979
630,0.9394
631,0.9386
632,0.916
633,0.8426
634,0.8271
635,0.8989
636,0.8314
637,0.8297
638,1.108
639,0.8491
640,0.8536
641,0.8654
642,0.8724
643,0.8131
644,0.9669
645,0.8446
646,0.9104
647,0.9695
648,0.9245
649,0.8589
650,0.9078
651,0.881
652,0.9391
653,1.0094
654,0.8682
655,0.8723
656,0.8774
657,0.8395
658,0.8783
659,0.9848
660,1.0176
661,0.8783
662,0.8541
663,0.8732
664,0.8194
665,0.8627
666,0.9176
667,1.092
668,0.876
669,0.9251
670,0.8551
671,0.9268
672,0.8238
673,0.9167
674,0.8892
675,0.9338
676,0.8194
677,0.9097
678,0.8431
679,0.8439
680,0.8529
681,0.8535
682,0.8524
683,0.9213
684,0.8808
685,0.8624
686,0.8265
687,0.8398
688,0.8147
689,0.8266
690,0.8314
691,0.9854
692,0.8394
693,0.82
694,0.8271
695,0.8208
696,0.8972
697,0.8344
698,0.8289
699,0.9268
700,0.914
701,0.8128
702,0.8484
703,1.0014
704,0.8215
705,0.7877
706,0.988
707,0.9739
708,0.897
709,0.8352
710,0.8275
711,0.8283
712,0.8584
713,0.8262
714,0.905
715,0.9839
716,0.8388
717,0.8889
718,0.8173
719,0.8182
720,0.8958
721,0.8647
722,0.9083
723,0.991
724,0.8355
725,0.8631
726,0.9218
727,1.0024
728,1.4428
729,0.8738
730,0.861
731,0.8064
732,0.7873
733,0.7905
734,0.8104
735,0.8242
736,0.8491
737,0.9942
738,0.8434
739,0.8252
740,0.8053
741,0.8659
742,0.82
743,0.8217
744,0.934
745,0.8843
746,0.9737
747,0.8468
748,0.8229
749,0.8286
750,0.8253
751,0.9298
752,0.9295
753,0.8364
754,0.9378
755,0.8624
756,0.8105
757,0.8355
758,0.8036
759,0.8156
760,0.7996
761,0.8391
762,0.8152
763,0.8512
764,0.9063
765,0.8444
766,0.847
767,0.8205
768,0.8167
769,0.7889
770,0.8077
771,0.8327
772,0.8943
773,0.9263
774,0.8877
775,0.8571
776,0.8113
777,0.7974
778,0.8181
779,0.8419
780,0.8162
781,0.8039
782,0.8691
783,0.9075
784,0.828
785,0.8023
786,0.8023
787,0.8091
788,0.7926
789,0.8183
790,0.8082
791,0.9335
792,0.9127
793,0.9318
794,0.8934
795,0.8623
796,0.9743
797,1.0315
798,0.9074
799,0.813
800,0.8432
801,0.9287
802,0.8524
803,0.8376
804,0.8237
805,0.8091
806,0.831
807,0.8188
808,0.8121
809,0.8417
810,0.9222
811,0.8747
812,0.8095
813,0.8426
814,0.81
815,0.8022
816,0.8349
817,0.8399
818,0.807
819,0.8205
820,0.8341
821,0.9156
822,0.9355
823,0.8446
824,0.8899
825,0.8257
826,0.8051
827,0.9993
828,0.9137
829,1.1018
830,0.8288
831,0.8454
832,0.8081
833,0.824
834,0.8516
835,0.8124
836,0.8046
837,0.8469
838,0.9297
839,0.9143
840,0.8176
841,0.8496
842,0.7985
843,0.7983
844,0.7992
845,0.8555
846,0.8202
847,0.8598
848,0.8932
849,0.8203
850,0.8124
851,0.8307
852,0.9242
853,0.8163
854,0.8016
855,0.8213
856,0.8336
857,0.93
858,0.8627
859,0.9057
860,0.8287
861,0.8071
862,0.8279
863,0.8215
864,0.8057
865,0.9485
866,0.9029
867,0.8933
868,0.8136
869,0.8479
870,0.8105
871,0.8096
872,0.8263
873,0.849
874,0.8131
875,0.8306
876,0.955
877,0.8628
878,0.8269
879,0.8117
880,0.8388
881,0.806
882,0.8135
883,0.824
884,0.9439
885,0.9085
886,0.8807
887,0.8394
888,0.8205
889,0.8039
890,0.8031
891,0.8542
892,0.9704
893,0.8503
894,0.887
895,0.928
896,0.89
897,0.8392
898,0.9907
899,0.8303
900,0.8654
901,0.9294
902,0.8753
903,1.2785
904,0.9795
905,0.8433
906,0.8551
907,0.9315
908,0.817
909,0.8249
910,0.8112
911,0.8744
912,0.8973
913,0.9541
914,0.8486
915,0.8089
916,0.8
917,0.8112
918,0.8337
919,0.8845
920,0.8091
921,0.8447
922,0.9128
923,0.8515
924,0.8359
925,0.8439
926,0.8232
927,0.8163
928,0.8043
929,0.8285
930,1.0447
931,0.901
932,0.9577
933,0.8945
934,0.8074
935,0.8168
936,0.8483
937,0.8158
938,0.8108
939,0.8381
940,0.8757
941,0.8775
942,0.8263
943,0.8224
944,0.8355
945,0.8443
946,0.8301
947,0.8255
948,0.8004
949,0.8578
950,0.964
951,0.8773
952,0.8213
953,0.8423
954,0.8344
955,0.8537
956,0.831
957,0.8524
958,0.8295
959,0.8896
960,0.9449
961,0.8167
962,0.8183
963,0.8054
964,0.8499
965,0.8243
966,0.8073
967,0.8112
968,0.8542
969,0.9547
970,0.8789
971,0.9076
972,0.8047
973,0.8035
974,0.8196
975,0.8343
976,0.8246
977,0.8478
978,0.9028
979,0.9455
980,0.8291
981,0.8766
982,0.8184
983,0.8104
984,0.7989
985,0.8814
986,0.806
987,0.8232
988,0.9398
989,0.8734
990,0.8911
991,0.8051
992,0.8638
993,0.8352
994,0.8146
995,0.8219
996,0.919
997,1.0156
998,0.9045
999,0.8958
1000,0.8208
